label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
hello,0.40753284096717834,0.8743193745613098,-7.739416219010309e-08,0.34745246171951294,0.825334370136261,-0.034375421702861786,0.3155118525028229,0.756622314453125,-0.06135541573166847,0.33780309557914734,0.707685649394989,-0.09010809659957886,0.37580692768096924,0.6811150908470154,-0.11806301027536392,0.3516642153263092,0.5915448665618896,-0.03872011974453926,0.34272053837776184,0.4634447693824768,-0.07613783329725266,0.3444752097129822,0.38578248023986816,-0.09986074268817902,0.347121000289917,0.3187282383441925,-0.11587400734424591,0.4021626114845276,0.609774112701416,-0.04432627558708191,0.41082093119621277,0.5703948736190796,-0.11219481378793716,0.3966563940048218,0.6557356715202332,-0.1319708377122879,0.3785577714443207,0.7290584444999695,-0.12811118364334106,0.4450453817844391,0.6392343044281006,-0.05369323492050171,0.44556882977485657,0.6435458064079285,-0.11399354785680771,0.42290690541267395,0.7294487953186035,-0.11060383915901184,0.4001065790653229,0.7899468541145325,-0.09047291427850723,0.48062950372695923,0.6783207654953003,-0.06627052277326584,0.4822487235069275,0.6763953566551208,-0.10257068276405334,0.46027612686157227,0.7382431626319885,-0.0949728712439537,0.4367765784263611,0.7837716937065125,-0.07794613391160965
thanks,0.453919917345047,0.8974573016166687,9.900610393742681e-07,0.39930978417396545,0.8625996112823486,-0.04193532094359398,0.3648862838745117,0.7978534698486328,-0.06828325241804123,0.3963671028614044,0.7615777850151062,-0.09384485334157944,0.4405943751335144,0.7357631325721741,-0.11728677153587341,0.37809836864471436,0.6194599270820618,-0.04981917515397072,0.3546583950519562,0.4988554120063782,-0.0844043716788292,0.34362342953681946,0.4218539595603943,-0.10355490446090698,0.336147665977478,0.35551339387893677,-0.11420509964227676,0.4323188066482544,0.6177244782447815,-0.053740695118904114,0.4434116780757904,0.48752421140670776,-0.08947958797216415,0.4545227289199829,0.3997003138065338,-0.10763143748044968,0.46421968936920166,0.32366642355918884,-0.11426845192909241,0.4777669310569763,0.6488590240478516,-0.06211576610803604,0.4865877330303192,0.6353272199630737,-0.11000580340623856,0.4679895043373108,0.7180725336074829,-0.11610209196805954,0.45483797788619995,0.7758681774139404,-0.10483604669570923,0.5119537115097046,0.6963625550270081,-0.07407039403915405,0.5103573799133301,0.7004637122154236,-0.10937497019767761,0.48964619636535645,0.7614121437072754,-0.10715684294700623,0.47297874093055725,0.8051550984382629,-0.09560330957174301
hello,0.4113840162754059,1.0485467910766602,-1.8820732350377511e-07,0.3658597469329834,1.0089924335479736,-0.038061924278736115,0.33875948190689087,0.952602207660675,-0.0683923289179802,0.3557091951370239,0.9177258610725403,-0.09876644611358643,0.40054023265838623,0.903101921081543,-0.12754692137241364,0.37766584753990173,0.7812623977661133,-0.052986375987529755,0.3863729238510132,0.6614103317260742,-0.09219702333211899,0.3974974453449249,0.5874000787734985,-0.11597292125225067,0.40972739458084106,0.5274080038070679,-0.13143394887447357,0.42817431688308716,0.7865995168685913,-0.053720101714134216,0.43148115277290344,0.8202014565467834,-0.11514509469270706,0.4127814471721649,0.8967680931091309,-0.13111568987369537,0.39758041501045227,0.9464113116264343,-0.12785457074642181,0.47041788697242737,0.8163952231407166,-0.057821087539196014,0.46103328466415405,0.8821398615837097,-0.10592750459909439,0.43954896926879883,0.9462742209434509,-0.09894228726625443,0.42514359951019287,0.9796217083930969,-0.08105368167161942,0.5049533247947693,0.8584437370300293,-0.06683091819286346,0.4957379698753357,0.9170047044754028,-0.0944165512919426,0.47013354301452637,0.963009774684906,-0.08814416080713272,0.4510268270969391,0.9848648905754089,-0.0737927034497261
hello,0.3229125142097473,0.9205702543258667,4.508205808662069e-09,0.2727983295917511,0.8726410269737244,-0.043137505650520325,0.2397245168685913,0.821456253528595,-0.07927888631820679,0.25588732957839966,0.7988766431808472,-0.11649065464735031,0.29791539907455444,0.782619833946228,-0.1533457338809967,0.2954924404621124,0.6280034184455872,-0.06413047015666962,0.2976013422012329,0.48226267099380493,-0.11247412860393524,0.3065182566642761,0.39668676257133484,-0.13965241611003876,0.3156328499317169,0.3204878866672516,-0.1567312479019165,0.35700666904449463,0.6390860080718994,-0.06806690990924835,0.3613404929637909,0.6113813519477844,-0.1443074643611908,0.3391827940940857,0.6964507699012756,-0.16462527215480804,0.31481221318244934,0.7686182856559753,-0.1598513275384903,0.40705904364585876,0.6746819615364075,-0.07567249983549118,0.39697572588920593,0.7288182377815247,-0.1443985253572464,0.35733067989349365,0.8312700390815735,-0.1407681405544281,0.3232416808605194,0.9016391038894653,-0.11845611780881882,0.44554686546325684,0.7279592156410217,-0.0874144434928894,0.4328627288341522,0.7899031639099121,-0.13202252984046936,0.39115265011787415,0.8621989488601685,-0.12874643504619598,0.3557211756706238,0.9093561172485352,-0.11257229745388031
thanks,0.2826641798019409,0.9943110942840576,1.3133612810634077e-06,0.22732292115688324,0.9582908153533936,-0.047288306057453156,0.18490423262119293,0.9139424562454224,-0.08698967844247818,0.2003459483385086,0.9078139662742615,-0.12716107070446014,0.24911324679851532,0.8978523015975952,-0.16546832025051117,0.22078874707221985,0.7004110813140869,-0.07985655218362808,0.20172610878944397,0.5578817129135132,-0.12846451997756958,0.19310671091079712,0.46893444657325745,-0.15061229467391968,0.1909644901752472,0.3877873122692108,-0.16172990202903748,0.29038920998573303,0.6934269666671753,-0.08737044781446457,0.3190351724624634,0.56691974401474,-0.14049644768238068,0.34351012110710144,0.4745055139064789,-0.16335226595401764,0.3665844798088074,0.39238157868385315,-0.1696375608444214,0.3444473147392273,0.727826714515686,-0.09847714751958847,0.3406175971031189,0.796978235244751,-0.15966777503490448,0.29649996757507324,0.9036610126495361,-0.1664530336856842,0.2677367031574249,0.9714868068695068,-0.1517311930656433,0.38191285729408264,0.7858169674873352,-0.11372794955968857,0.36278781294822693,0.8701810836791992,-0.1542297750711441,0.3219912350177765,0.9476001262664795,-0.15257209539413452,0.2921239137649536,0.9976518154144287,-0.13926881551742554
yes,0.38042527437210083,0.9867550134658813,8.766106134316942e-07,0.31617894768714905,0.9538586139678955,-0.06338192522525787,0.2720406651496887,0.8887672424316406,-0.0986991822719574,0.3242954909801483,0.8558253049850464,-0.12538263201713562,0.40308335423469543,0.824988067150116,-0.15379562973976135,0.2795828878879547,0.6437374353408813,-0.07359416037797928,0.24284878373146057,0.48178237676620483,-0.10623589158058167,0.2227310985326767,0.3800434470176697,-0.12730038166046143,0.20687562227249146,0.28862589597702026,-0.1459546685218811,0.34805673360824585,0.6184718608856201,-0.07851777225732803,0.34284934401512146,0.441118061542511,-0.10351715981960297,0.3464623987674713,0.32639333605766296,-0.1267208606004715,0.35103708505630493,0.22715041041374207,-0.14547552168369293,0.4029386043548584,0.6507956981658936,-0.09009607136249542,0.43406757712364197,0.5304397344589233,-0.13435402512550354,0.4521178603172302,0.43037089705467224,-0.1776670515537262,0.4697936475276947,0.33539295196533203,-0.21014785766601562,0.4500257670879364,0.7205581068992615,-0.10554081201553345,0.44305068254470825,0.7258791327476501,-0.16393041610717773,0.42519688606262207,0.7961194515228271,-0.18819281458854675,0.41304269433021545,0.8541893362998962,-0.2035788893699646
hello,0.41462579369544983,0.9250004291534424,-9.68634239484345e-08,0.48606276512145996,0.8612638711929321,-0.05820197984576225,0.5468661785125732,0.719054102897644,-0.08340264856815338,0.5380486845970154,0.5956226587295532,-0.10479652881622314,0.4682523310184479,0.5372584462165833,-0.12200644612312317,0.5044231414794922,0.5380650758743286,-0.05474337935447693,0.5165784955024719,0.34794068336486816,-0.10458438098430634,0.524456262588501,0.23937073349952698,-0.1266324669122696,0.5241370797157288,0.13642078638076782,-0.13991671800613403,0.43521472811698914,0.5448447465896606,-0.05222301930189133,0.43754324316978455,0.5255188941955566,-0.12499439716339111,0.4446108043193817,0.6695228815078735,-0.12884582579135895,0.4475199282169342,0.7064084410667419,-0.11424142122268677,0.37183523178100586,0.572715699672699,-0.05751398950815201,0.37116947770118713,0.5796909332275391,-0.13640035688877106,0.39259570837020874,0.7101161479949951,-0.11594060063362122,0.40148115158081055,0.7283120155334473,-0.08286146074533463,0.3113826811313629,0.6112133860588074,-0.06771847605705261,0.31715714931488037,0.6168897151947021,-0.11498524248600006,0.3431186079978943,0.7065442800521851,-0.09405999630689621,0.3504469394683838,0.7292536497116089,-0.06603922694921494
thanks,0.42963820695877075,0.913834810256958,1.222020955538028e-06,0.4980891942977905,0.8467614650726318,-0.06681361049413681,0.5255810022354126,0.7041037082672119,-0.09458979964256287,0.4806697368621826,0.5787919759750366,-0.11972607672214508,0.4166531562805176,0.4899440407752991,-0.14078132808208466,0.538495659828186,0.5215734243392944,-0.04534042626619339,0.6004912257194519,0.3550146818161011,-0.09134845435619354,0.6370526552200317,0.2502485513687134,-0.11946635693311691,0.6658616065979004,0.15847238898277283,-0.13501404225826263,0.46631255745887756,0.5066763162612915,-0.045233163982629776,0.46450334787368774,0.31072598695755005,-0.10410013049840927,0.46495428681373596,0.18600600957870483,-0.13901063799858093,0.46413135528564453,0.07816627621650696,-0.15220396220684052,0.40051090717315674,0.5368058681488037,-0.05241350829601288,0.37781986594200134,0.4609322249889374,-0.1431007981300354,0.40377718210220337,0.5947258472442627,-0.15590272843837738,0.41961315274238586,0.6869983077049255,-0.13474343717098236,0.34438368678092957,0.5939956903457642,-0.06333941966295242,0.3370155692100525,0.5177217721939087,-0.13466086983680725,0.36438584327697754,0.6130173206329346,-0.13077028095722198,0.3824634552001953,0.6881834864616394,-0.107836052775383
yes,0.42466530203819275,0.9436781406402588,1.266603135263722e-06,0.4937824606895447,0.8871541023254395,-0.09379620850086212,0.5116995573043823,0.7424544095993042,-0.11466888338327408,0.44760745763778687,0.6176550984382629,-0.11361782252788544,0.3749825358390808,0.5425300598144531,-0.1092887595295906,0.5421542525291443,0.5555141568183899,-0.07691588252782822,0.6152486801147461,0.38540107011795044,-0.10381540656089783,0.6545699834823608,0.28972327709198,-0.12477351725101471,0.6885632276535034,0.195031076669693,-0.1397944688796997,0.47030115127563477,0.5362334251403809,-0.05542515963315964,0.5037040114402771,0.3440208435058594,-0.0837085098028183,0.5191949605941772,0.22866758704185486,-0.11059402674436569,0.5360584259033203,0.1277281641960144,-0.1264532059431076,0.4018256366252899,0.5508028268814087,-0.04261147230863571,0.38252148032188416,0.3721249997615814,-0.09933868795633316,0.37143197655677795,0.25591179728507996,-0.14619925618171692,0.3688368797302246,0.14445120096206665,-0.17221756279468536,0.346373975276947,0.6058294177055359,-0.034819815307855606,0.3427750766277313,0.4957844018936157,-0.08751203864812851,0.3511941432952881,0.5783265829086304,-0.09545554220676422,0.3559778034687042,0.6740356683731079,-0.09549369663000107
hello,0.3691745400428772,0.7235820889472961,-1.6948628456248116e-07,0.4566711187362671,0.6613481044769287,-0.04372222349047661,0.514522910118103,0.5274400115013123,-0.05681623890995979,0.49411076307296753,0.4208662509918213,-0.06836595386266708,0.4459935128688812,0.37824350595474243,-0.07915250211954117,0.47557759284973145,0.3957812786102295,-0.0293751023709774,0.48367780447006226,0.23708926141262054,-0.0657191202044487,0.4794774055480957,0.139052152633667,-0.08579135686159134,0.47571003437042236,0.05399253964424133,-0.09926579892635345,0.41114118695259094,0.397859126329422,-0.028200358152389526,0.4088088274002075,0.33659493923187256,-0.10759798437356949,0.4056868255138397,0.4600699543952942,-0.12688545882701874,0.4091380834579468,0.5547786951065063,-0.11694782972335815,0.3535286784172058,0.4123845100402832,-0.032238613814115524,0.34497031569480896,0.37262484431266785,-0.10712260752916336,0.3563022017478943,0.49065569043159485,-0.10035278648138046,0.36985448002815247,0.5706973075866699,-0.07196523249149323,0.29817554354667664,0.4385090172290802,-0.03975921496748924,0.29535216093063354,0.388576865196228,-0.08869528770446777,0.31079891324043274,0.4711776673793793,-0.0807575210928917,0.32599374651908875,0.5308151245117188,-0.059673972427845
